subject,TrialNo,TrialID,strategy,Order,total_dis,Top,Target,short_dis,learn_dis,Start_x,Start_y,Goal_x,Goal_y,Distance,ES,EL
639,5,dsp1_16,shortcut,5,203.0,piano,harp,203,285,13,153,134,153,153.333,1.0,0.712280701754386
639,6,dsp1_21,learned liberal,6,488.0,wheelbarrow,mailbox,182,304,114,112,214,30,116.0,2.681318681318681,1.605263157894737
639,7,dsp1_03,shortcut,7,304.0,chair,Piano,261,548,214,132,13,153,234.667,1.1647509578544062,0.5547445255474452
639,8,dsp1_23,learned,8,404.0,harp,plant,164,404,134,153,93,30,126.667,2.4634146341463414,1.0
639,9,dsp1_04,Failure,9,549.0,chair,trashcan,223,629,214,132,53,194,185.333,2.4618834080717487,0.8728139904610492
639,10,dsp1_07,uncodable,10,425.0,telescope,trashcan,265,427,134,10,53,194,221.333,1.6037735849056605,0.9953161592505855
639,11,dsp1_05,shortcut liberal,11,346.0,mailbox,bookshelf,264,588,214,30,73,153,197.333,1.3106060606060606,0.5884353741496599
639,12,dsp1_11,learned,12,448.0,picnic table,wheelbarrow,82,448,73,71,114,112,44.0,5.463414634146342,1.0
639,13,dsp1_10,shortcut,13,182.0,plant,piano,182,285,93,30,13,153,152.0,1.0,0.6385964912280702
639,14,dsp1_06,shortcut,14,203.0,mailbox,harp,203,731,214,30,134,153,153.333,1.0,0.2777017783857729
639,15,dsp1_24,learned,15,343.0,harp,telescope,183,343,134,153,134,10,133.333,1.8743169398907105,1.0
639,16,dsp1_13,Failure,16,569.0,stove,chair,323,569,33,30,214,132,222.667,1.761609907120743,1.0
639,17,dsp1_14,Failure,17,526.0,stove,bookshelf,203,285,33,30,73,153,137.333,2.5911330049261085,1.8456140350877193
639,18,dsp1_08,uncodable,18,484.0,telescope,wheelbarrow,162,570,134,10,114,112,115.333,2.9876543209876543,0.8491228070175438
639,19,dsp1_22,Failure,19,631.0,wheelbarrow,stove,163,607,114,112,33,30,114.667,3.871165644171779,1.0395387149917628
639,20,dsp1_02,Failure,20,545.0,well,picnic table,203,405,174,173,73,71,137.2,2.684729064039409,1.345679012345679
640,1,dsp1_17,shortcut liberal,1,263.0,trashcan,picnic table,183,669,53,194,73,71,130.667,1.4371584699453552,0.3931240657698057
640,2,dsp1_05,learned liberal,2,526.0,mailbox,bookshelf,264,588,214,30,73,153,197.333,1.9924242424242424,0.8945578231292517
640,3,dsp1_06,learned,3,731.0,mailbox,harp,203,731,214,30,134,153,153.333,3.600985221674877,1.0
640,4,dsp1_24,learned,4,343.0,harp,telescope,183,343,134,153,134,10,133.333,1.8743169398907105,1.0
640,5,dsp1_23,learned,5,404.0,harp,plant,164,404,134,153,93,30,126.667,2.4634146341463414,1.0
640,6,dsp1_11,learned liberal,6,406.0,picnic table,wheelbarrow,82,448,73,71,114,112,44.0,4.951219512195122,0.90625
640,7,dsp1_10,shortcut,7,203.0,plant,piano,182,285,93,30,13,153,152.0,1.1153846153846154,0.712280701754386
640,8,dsp1_08,learned liberal,8,488.0,telescope,wheelbarrow,162,570,134,10,114,112,115.333,3.0123456790123457,0.856140350877193
640,9,dsp1_02,Failure,9,629.0,well,picnic table,203,405,174,173,73,71,137.2,3.0985221674876846,1.5530864197530865
640,10,dsp1_07,shortcut liberal,10,305.0,telescope,trashcan,265,427,134,10,53,194,221.333,1.150943396226415,0.7142857142857143
640,11,dsp1_22,Failure,11,609.0,wheelbarrow,stove,163,607,114,112,33,30,114.667,3.736196319018405,1.0032948929159802
640,12,dsp1_03,learned liberal,12,466.0,chair,Piano,261,548,214,132,13,153,234.667,1.78544061302682,0.8503649635036497
640,13,dsp1_04,shortcut,13,223.0,chair,trashcan,223,629,214,132,53,194,185.333,1.0,0.35453100158982515
640,14,dsp1_13,uncodable,14,487.0,stove,chair,323,569,33,30,214,132,222.667,1.5077399380804954,0.8558875219683656
640,15,dsp1_19,learned liberal,15,711.0,bookshelf,plant,143,547,73,153,93,30,118.667,4.972027972027972,1.29981718464351
640,16,dsp1_18,Failure,16,793.0,Trashcan,well,142,264,53,194,174,173,115.333,5.584507042253521,3.003787878787879
640,17,dsp1_21,learned liberal,17,568.0,wheelbarrow,mailbox,182,304,114,112,214,30,116.0,3.120879120879121,1.868421052631579
640,18,dsp1_09,shortcut liberal,18,346.0,plant,well,224,630,93,30,174,173,171.333,1.5446428571428572,0.5492063492063493
640,19,dsp1_14,uncodable,19,243.0,stove,bookshelf,203,285,33,30,73,153,137.333,1.1970443349753694,0.8526315789473684
