Participant No,Gender,TrialNo,TrialID,AngluarArror
 627,0,19,dsp1_14,2.030211191
 627,0,20,dsp1_13,53.3214585
 628,1,1,dsp1_04,55.04018783
 628,1,2,dsp1_14,31.06978881
 628,1,3,dsp1_06,21.57525838
 628,1,4,dsp1_05,15.91144315
 628,1,5,dsp1_11,113.7531369
 628,1,6,dsp1_21,72.52060338
 628,1,7,dsp1_19,28.79605039
 628,1,8,dsp1_17,54.15459788
 628,1,9,dsp1_22,79.55194312
 628,1,10,dsp1_23,69.66763749
 628,1,11,dsp1_09,92.18102421
 628,1,12,dsp1_07,27.02277951
 628,1,13,dsp1_18,113.8453021
 628,1,14,dsp1_10,27.665791
 628,1,15,dsp1_13,75.5214585
 628,1,16,dsp1_16,53.60198481
 628,1,17,dsp1_03,62.78395499
 628,1,18,dsp1_08,34.69390067
 628,1,19,dsp1_02,20.5
 628,1,20,dsp1_24,60.3472296
 629,0,1,dsp1_07,3.022771507
 629,0,2,dsp1_10,10.334209
 629,0,3,dsp1_24,5.052770397
 629,0,4,dsp1_13,1.421458496
 629,0,5,dsp1_18,9.545292119
 629,0,6,dsp1_03,6.483954988
 629,0,7,dsp1_08,8.30607933
 629,0,8,dsp1_04,2.24018783
 629,0,9,dsp1_05,8.288556845
 629,0,10,dsp1_06,11.37515838
 629,0,11,dsp1_23,9.632362509
 629,0,12,dsp1_14,14.36978881
 629,0,13,dsp1_02,21.2
 629,0,14,dsp1_21,100.8206034
 629,0,15,dsp1_17,0.645302119
 629,0,16,dsp1_22,94.74795688
 629,0,17,dsp1_09,2.181024207
 629,0,18,dsp1_19,5.296070392
 629,0,19,dsp1_11,2.946873054
 629,0,20,dsp1_16,11.70194481
 630,1,1,dsp1_05,0.188656845
 630,1,2,dsp1_24,58.6527704
 630,1,3,dsp1_17,54.95469788
 630,1,4,dsp1_18,45.85469788
 630,1,5,dsp1_04,43.94018783
 630,1,6,dsp1_02,13.5
 630,1,7,dsp1_19,124.3960504
 630,1,8,dsp1_11,140.6532369
 630,1,9,dsp1_16,55.90201481
 630,1,10,dsp1_21,94.87939662
 630,1,11,dsp1_23,92.86753749
 630,1,12,dsp1_09,62.11897579
 630,1,13,dsp1_08,63.49392067
 630,1,14,dsp1_13,41.7214585
 630,1,15,dsp1_14,13.43021119
 630,1,16,dsp1_03,56.71604501
 630,1,17,dsp1_07,6.822771507
 630,1,18,dsp1_06,12.17515838
 630,1,19,dsp1_10,20.665791
 630,1,20,dsp1_22,160.2520431
 631,1,1,dsp1_19,60.19605039
 631,1,2,dsp1_03,24.21604501
 631,1,3,dsp1_07,27.02277551
 631,1,4,dsp1_14,25.56978881
 631,1,5,dsp1_24,19.4472296
 631,1,6,dsp1_21,106.6206034
 631,1,7,dsp1_11,126.9532369
 631,1,8,dsp1_02,91.7
 631,1,9,dsp1_06,14.02484162
 631,1,10,dsp1_22,72.95204312
 631,1,11,dsp1_18,34.64529212
 631,1,12,dsp1_08,6.90597933
 631,1,13,dsp1_13,46.2214585
 631,1,14,dsp1_04,25.74028783
 631,1,15,dsp1_05,9.888556845
 631,1,16,dsp1_10,13.934309
 631,1,17,dsp1_16,20.50196481
 631,1,18,dsp1_17,19.64530212
 631,1,19,dsp1_09,28.08092421
 631,1,20,dsp1_23,70.06763749
 632,1,1,dsp1_11,109.2468631
 632,1,2,dsp1_08,53.29388067
 632,1,3,dsp1_07,89.12277151
 632,1,4,dsp1_24,40.0472296
 632,1,5,dsp1_16,60.90201481
 632,1,6,dsp1_18,48.25469788
 632,1,7,dsp1_13,40.9214585
 632,1,8,dsp1_23,41.36763749
 632,1,9,dsp1_03,67.81604501
 632,1,10,dsp1_19,18.40396961
 632,1,11,dsp1_06,20.07515838
 632,1,12,dsp1_14,18.56978881
 632,1,13,dsp1_10,166.165791
 632,1,14,dsp1_05,0.288556845
 632,1,15,dsp1_22,1.247956877
 632,1,16,dsp1_21,28.27939662
 632,1,17,dsp1_04,39.75981217
 632,1,18,dsp1_02,3
 632,1,19,dsp1_09,25.78102421
 632,1,20,dsp1_17,62.95469788
 633,1,1,dsp1_17,32.55469788
 633,1,2,dsp1_21,110.7207034
 633,1,3,dsp1_18,102.6546979
 633,1,4,dsp1_02,44.4001
 633,1,5,dsp1_10,10.965791
 633,1,6,dsp1_16,0.20196481
 633,1,7,dsp1_11,19.35314695
 633,1,8,dsp1_03,38.58395499
 633,1,9,dsp1_22,1.647956877
 633,1,10,dsp1_24,85.1472296
 633,1,11,dsp1_05,24.98855685
 633,1,12,dsp1_09,106.9189758
 633,1,13,dsp1_14,5.969788809
 633,1,14,dsp1_13,22.6214585
 633,1,15,dsp1_04,15.35981217
 633,1,16,dsp1_08,25.29392067
 633,1,17,dsp1_19,113.6960504
 633,1,18,dsp1_23,98.56753749
 633,1,19,dsp1_07,36.32280151
 633,1,20,dsp1_06,6.175258383
 634,1,1,dsp1_05,103.6885568
 634,1,2,dsp1_13,91.4214585
 634,1,3,dsp1_14,1.269888809
 634,1,4,dsp1_21,108.0206034
 634,1,5,dsp1_06,15.27515838
 634,1,6,dsp1_04,58.44018783
 634,1,7,dsp1_11,84.55313695
 634,1,8,dsp1_07,13.37722849
 634,1,9,dsp1_18,21.85469788
 634,1,10,dsp1_19,142.3039496
 634,1,11,dsp1_02,90.7
 634,1,12,dsp1_16,51.40196481
 634,1,13,dsp1_22,174.7479569
 634,1,14,dsp1_24,134.0527704
 634,1,15,dsp1_08,44.79392067
 634,1,16,dsp1_10,143.865791
 634,1,17,dsp1_23,37.46763749
 634,1,18,dsp1_09,30.58102421
 634,1,19,dsp1_03,85.71604501
 634,1,20,dsp1_17,47.25469788
 635,0,1,dsp1_24,44.3528704
 635,0,2,dsp1_17,0.645302119
 635,0,3,dsp1_14,14.56978881
 635,0,4,dsp1_22,51.95204312
 635,0,5,dsp1_23,106.8676375
 635,0,6,dsp1_10,72.265791
 635,0,7,dsp1_03,5.183954988
 635,0,8,dsp1_21,74.27949662
 635,0,9,dsp1_08,31.20607933
 635,0,10,dsp1_18,55.45469788
 635,0,11,dsp1_05,2.988556845
 635,0,12,dsp1_09,66.21897579
 635,0,13,dsp1_02,22
 635,0,14,dsp1_16,40.90198481
