Subject,DSP_Trial,Top,Target,AbsoluError,Order
618,dsp1_08,telescope,wheelbarrow,63.9,pre
618,dsp1_03,chair,piano,84.6,pre
618,new_7,trashcan,stove,1.5,pre
618,dsp1_22,wheelbarrow,mailbox,22.0,pre
618,dsp1_13,stove,chair,77.1,pre
618,dsp1_02,well,picnic table,28.0,pre
618,dsp1_17,trashcan,picnic table,13.6,pre
618,dsp1_21,wheelbarrow,stove,112.3,pre
618,dsp1_19,bookshelf,plant,98.7,pre
618,dsp1_24,harp,telescope,78.0,pre
618,dsp1_10,plant,piano,137.0,pre
618,dsp1_16,piano,harp,174.1,pre
618,new_4,picnic table,chair,142.9,pre
618,dsp1_09,plant,well,25.4,pre
618,dsp1_07,telescope,trashcan,77.4,pre
618,new_3,bookshelf,piano,58.3,pre
618,new_5,harp,mailbox,54.1,pre
618,dsp1_23,harp,plant,2.0,pre
618,dsp1_05,mailbox,bookshelf,141.9,pre
618,new_6,piano,trashcan,159.3,pre
618,dsp1_04,chair,trashcan,157.8,pre
618,dsp1_14,stove,bookshelf,67.6,pre
618,dsp1_06,mailbox,harp,95.9,pre
618,new_2,stove,wheelbarrow,4.3,pre
619,dsp1_14,stove,bookshelf,2.4,pre
619,dsp1_03,chair,piano,30.6,pre
619,dsp1_16,piano,harp,12.9,pre
619,dsp1_23,harp,plant,22.0,pre
619,new_7,trashcan,stove,15.5,pre
619,dsp1_05,mailbox,bookshelf,10.9,pre
619,dsp1_19,bookshelf,plant,8.7,pre
619,dsp1_24,harp,telescope,1.0,pre
619,dsp1_18,trashcan,well,8.6,pre
619,dsp1_22,wheelbarrow,mailbox,5.0,pre
619,dsp1_10,plant,piano,1.0,pre
619,dsp1_09,plant,well,22.4,pre
619,new_4,picnic table,chair,20.9,pre
619,new_2,stove,wheelbarrow,19.3,pre
619,dsp1_02,well,picnic table,30.0,pre
619,dsp1_07,telescope,trashcan,7.4,pre
619,new_5,harp,mailbox,12.1,pre
619,dsp1_06,mailbox,harp,6.1,pre
619,dsp1_11,picnic table,wheelbarrow,12.9,pre
619,new_3,bookshelf,piano,9.3,pre
619,dsp1_17,trashcan,picnic table,12.6,pre
619,dsp1_21,wheelbarrow,stove,20.3,pre
619,dsp1_08,telescope,wheelbarrow,5.9,pre
619,new_1,well,telescope,0.3,pre
619,dsp1_04,chair,trashcan,21.8,pre
619,dsp1_13,stove,chair,28.9,pre
619,new_6,piano,trashcan,14.7,pre
620,dsp1_05,mailbox,bookshelf,18.9,pre
620,dsp1_23,harp,plant,171.0,pre
620,dsp1_03,chair,piano,70.4,pre
620,dsp1_02,well,picnic table,177.0,pre
620,new_1,well,telescope,115.7,pre
620,new_5,harp,mailbox,55.9,pre
620,dsp1_04,chair,trashcan,10.8,pre
620,new_6,piano,trashcan,11.3,pre
620,new_7,trashcan,stove,18.5,pre
620,new_3,bookshelf,piano,0.7,pre
620,dsp1_16,piano,harp,36.1,pre
620,dsp1_11,picnic table,wheelbarrow,85.1,pre
620,dsp1_19,bookshelf,plant,32.7,pre
620,dsp1_22,wheelbarrow,mailbox,88.0,pre
620,dsp1_10,plant,piano,94.0,pre
620,dsp1_21,wheelbarrow,stove,12.7,pre
620,dsp1_24,harp,telescope,70.0,pre
620,dsp1_09,plant,well,123.4,pre
620,dsp1_14,stove,bookshelf,12.6,pre
620,dsp1_08,telescope,wheelbarrow,158.9,pre
620,dsp1_17,trashcan,picnic table,57.4,pre
620,new_2,stove,wheelbarrow,10.3,pre
620,dsp1_07,telescope,trashcan,169.4,pre
620,new_4,picnic table,chair,106.1,pre
620,dsp1_06,mailbox,harp,75.9,pre
620,dsp1_13,stove,chair,42.9,pre
620,dsp1_18,trashcan,well,64.4,pre
621,dsp1_10,plant,piano,35.0,pre
621,new_4,picnic table,chair,126.1,pre
621,dsp1_04,chair,trashcan,158.8,pre
621,dsp1_08,telescope,wheelbarrow,43.9,pre
621,dsp1_19,bookshelf,plant,154.7,pre
621,dsp1_06,mailbox,harp,74.9,pre
621,dsp1_21,wheelbarrow,stove,173.3,pre
621,dsp1_14,stove,bookshelf,19.6,pre
621,dsp1_11,picnic table,wheelbarrow,102.1,pre
621,new_7,trashcan,stove,7.5,pre
621,new_5,harp,mailbox,39.1,pre
621,dsp1_24,harp,telescope,122.0,pre
621,dsp1_03,chair,piano,55.4,pre
621,dsp1_22,wheelbarrow,mailbox,70.0,pre
621,dsp1_09,plant,well,14.4,pre
621,new_1,well,telescope,57.7,pre
621,dsp1_16,piano,harp,46.9,pre
621,dsp1_17,trashcan,picnic table,85.4,pre
621,dsp1_13,stove,chair,29.9,pre
621,new_6,piano,trashcan,6.3,pre
621,new_3,bookshelf,piano,3.3,pre
621,dsp1_23,harp,plant,168.0,pre
621,dsp1_02,well,picnic table,35.0,pre
621,new_2,stove,wheelbarrow,161.7,pre
621,dsp1_18,trashcan,well,30.4,pre
621,dsp1_07,telescope,trashcan,35.6,pre
621,dsp1_05,mailbox,bookshelf,29.9,pre
622,new_6,piano,trashcan,24.7,pre
622,new_1,well,telescope,39.7,pre
622,dsp1_11,picnic table,wheelbarrow,147.1,pre
622,dsp1_10,plant,piano,20.0,pre
622,dsp1_05,mailbox,bookshelf,168.9,pre
622,dsp1_14,stove,bookshelf,44.6,pre
622,dsp1_16,piano,harp,7.9,pre
622,dsp1_21,wheelbarrow,stove,135.3,pre
622,dsp1_04,chair,trashcan,92.8,pre
622,dsp1_17,trashcan,picnic table,156.6,pre
622,dsp1_08,telescope,wheelbarrow,165.9,pre
622,dsp1_06,mailbox,harp,161.9,pre
622,dsp1_19,bookshelf,plant,125.3,pre
622,new_7,trashcan,stove,135.5,pre
622,dsp1_24,harp,telescope,140.0,pre
622,dsp1_02,well,picnic table,115.0,pre
622,dsp1_09,plant,well,89.4,pre
622,dsp1_03,chair,piano,15.6,pre
622,dsp1_23,harp,plant,128.0,pre
622,new_2,stove,wheelbarrow,61.3,pre
622,dsp1_18,trashcan,well,129.6,pre
622,new_5,harp,mailbox,83.1,pre
622,new_4,picnic table,chair,88.1,pre
622,dsp1_13,stove,chair,159.1,pre
622,dsp1_07,telescope,trashcan,68.6,pre
622,dsp1_22,wheelbarrow,mailbox,23.0,pre
622,new_3,bookshelf,piano,42.7,pre
623,new_3,bookshelf,piano,132.3,pre
623,dsp1_02,well,picnic table,48.0,pre
623,dsp1_17,trashcan,picnic table,166.6,pre
623,dsp1_07,telescope,trashcan,113.6,pre
623,dsp1_14,stove,bookshelf,37.4,pre
623,new_5,harp,mailbox,56.1,pre
623,dsp1_09,plant,well,78.4,pre
623,dsp1_08,telescope,wheelbarrow,17.9,pre
623,new_4,picnic table,chair,83.1,pre
623,dsp1_11,picnic table,wheelbarrow,38.1,pre
623,dsp1_18,trashcan,well,45.4,pre
623,new_7,trashcan,stove,87.5,pre
623,dsp1_21,wheelbarrow,stove,173.3,pre
623,dsp1_22,wheelbarrow,mailbox,15.0,pre
623,dsp1_10,plant,piano,35.0,pre
623,dsp1_03,chair,piano,104.4,pre
623,dsp1_04,chair,trashcan,32.8,pre
623,dsp1_16,piano,harp,74.9,pre
623,dsp1_05,mailbox,bookshelf,8.9,pre
623,dsp1_23,harp,plant,153.0,pre
623,dsp1_13,stove,chair,30.9,pre
623,dsp1_06,mailbox,harp,24.1,pre
623,new_2,stove,wheelbarrow,43.7,pre
623,dsp1_19,bookshelf,plant,52.7,pre
623,new_1,well,telescope,18.3,pre
623,new_6,piano,trashcan,60.7,pre
623,dsp1_24,harp,telescope,101.0,pre
624,dsp1_24,harp,telescope,149.0,pre
